2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 20, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03941 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 21, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03223 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 22, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03695 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 23, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03290 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 24, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03309 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 25, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03264 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 26, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03596 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 27, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03273 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 28, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03210 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 29, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03104 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 30, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03057 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 31, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03194 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 32, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03151 seconds
